IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP113
3115;Барнаул, Квадро Интерьер (ООО «Стройклассика») ;Строителей проспект, 14а;;;ООО «Стройклассика»;Квадро Интерьер;"+7 (3852) 61-06-06; +7 (913) 254-23-59";design@kuadro.ru;3114
3117;"Белгород, ЕВРОПЛАСТ (ООО &amp;quot;ВК Хим&amp;quot;) ";улица Восточная, д. 71, 1 этаж;;;"ООО ""ВК Хим""";ЕВРОПЛАСТ;"+7 (903) 885-00-22; +7 (903) 886-07-70; +7 (4722) 20-75-82";vkhim2008@yandex.ru;3116
3124;"Волгоград, DECOLE шоу-рум (ООО &amp;quot;ДЕКОЛЕ&amp;quot;) ";улица 25 лет Октября д. 1, строение 2, этаж 1;Оптово-строительный рынок на Тулака;Вход в шоу-рум с торца здания;"ООО ""ДЕКОЛЕ""";DECOLE шоу-рум;"+7 (8442) 60-19-08; +7 (962) 760-19-08";salon-decoracia@mail.ru;3123
3126;"Воронеж, Магазин &amp;quot;Дон-Декор&amp;quot; (ООО &amp;quot;Дон-Декор&amp;quot;) ";улица Донбасская, д. 7 (1 этаж);;Угловой магазин, ближе к пл. Застава;"ООО ""Дон-Декор""";"Магазин ""Дон-Декор""";"+7 (4732) 52-67-74; +7 (4732) 29-04-69";vpn@dondecor.ru;3125
3134;Ижевск, «Дженти» (ООО «Дженти») ;ул. Удмуртская, 304, корпус 4, этаж 2, пав. 326;Строительный центр «Гвоздь»;зеленый зал, 2 этаж;ООО «Дженти»;«Дженти»;"+7 (3412) 65-65-30; +7 (919) 916-80-30";domdekora@djenti.ru;3133
3136;Иркутск, ООО Элит Декор (ООО Элит Декор) ;Иркутской 30-й Дивизии, д. 51;Салон Элит Декор;;ООО Элит Декор;ООО Элит Декор;+7 (3952) 27-87-87;info@elit-decor.com;3135
3140;Калининград, Dom&Decor (ООО Скандинавская Мебель, ИП В.А. Федоров) ;Проспект Победы, д. 157А, 1 этаж;территория «Калининградбуммонтаж»;;ООО Скандинавская Мебель, ИП В.А. Федоров;Dom&Decor;"+7 (4012) 75-85-75; +7 (963) 292-48-78";salon@dom-decor.com;3138
3146;"Кемерово, DecoХолл (ООО &amp;quot;Гермес&amp;quot;) ";"проспект Ленина, д. 81-""А"", этаж 1";Магазин;;"ООО ""Гермес""";DecoХолл;+7 (3842) 35-96-63;lepnina@granddekor.ru;3145
3148;"Комсомольск-на-Амуре, Салон &quot;Соломон&quot; ";улица Кирова, д. 46;;;"ООО """"Генезис";магазин Соломон;9838213323;;3147
3160;Курск, салон  Ампир-декор (ИП Шаталова Т.Л.) ;улица Добролюбова, д. 15а, 1 этаж;Торговый центр;;ИП Шаталова Т.Л.;салон Ампир-декор;4712396138;salonampirkursk@yandex.ru;3154
3162;Магнитогорск, салон АРХИТЕКТОР (ИП Козлова Н.Б.) ;улица Калинина д.1, этаж 1;Салон;"Бывшее детское кафе ""Сказка""";ИП Козлова Н.Б.;салон АРХИТЕКТОР;+7 (3519) 22-18-99;ldsalon@mail.ru;3161
3165;"Нижний Новгород, Интерьерный салон &quot;Избранное&quot; ";улица Белинского, д. 11/66, 1 этаж;;Напротив парка Пушкина;ИП Негина О.С.;Салон Избранное;"8314213888; 8314211155";evroplast@elite-nn.ru;3163
3166;Нижний Новгород, салон “Decor360”, ИП Негина О.С. ;улица Бекетова, д. 13, 2 этаж;;"Стройцентр ""Бекетов""";ИП Негина О.С.;салон “Decor360”;"8314123130; 9082382424";salon@decor360.ru;3163
3167;Нижний Новгород, Центр Фасадного декора (ИП Негина О.С.) ;улица Белинского, д. 11/66, этаж цоколь;;Напротива парка Пушкина;ИП Негина О.С.;Центр Фасадного декора;+7 (831) 421-11-55;fasad@elite-nn.ru;3163
3169;"Нижневартовск, салон &amp;quot;Архитектурный декор&amp;quot; (1. ИП Чащилов А.П.; 2. ООО ТК &amp;quot;Архитектурный декор&amp;quot;) ";улица Мира, д. 98 (1 этаж);;;"1. ИП Чащилов А.П.; 2. ООО ТК ""Архитектурный декор""";"салон ""Архитектурный декор""";+7 (3466) 42-43-24;nv@decor-ad.ru;3168
3173;Омск, Салон Арт-Декор (ИП Акулинская Ю.В.) ;улица Герцена, д. 36 (1 этаж);"Торговый Дом ""На Герцена""";;ИП Акулинская Ю.В.;Салон Арт-Декор;"+7 (3812) 24-30-21; +7 (3812) 50-26-00";decorart@mail.ru;3172
3174;Омск, Салон Арт-Декор (ИП Калиничев В.Г.) ;улица Пушкина, д. 37 (1 этаж);;Пересечение ул. Пушкина и ул. Почтовая;ИП Калиничев В.Г.;Салон Арт-Декор;+7 (3812) 50-16-00;ya.art-décor@yandex.ru;3172
3175;"Омск, Салон &amp;quot;Европласт&amp;quot; (ИП Калиничев В.Г.) ";улица 10 лет Октября, д. 182, корп.3 (1 этаж);"ТК ""Кит-интерьер""";;ИП Калиничев В.Г.;"Салон ""Европласт""";+7 (3812) 50-76-00;artdecor-kit@mail.ru;3172
3177;"Орел, Магазин &amp;quot;ОБОИ&amp;quot; (ИП Панухник В.Н.) ";Городская, д. 98, этаж 3;"ОАО ""База строительных товаров""";"В здании ""Эстетика интерьера""";ИП Панухник В.Н.;"Магазин ""ОБОИ""";"+7 (4862) 71-48-94; +7 (4862) 59-41-49";egerasimova@57.leso-torg.ru;3176
3183;"Пермь, ООО &quot;Визард-Стиль&quot; ";ул. Н. Островского, 44а, 2-этаж;отдельно стоящее здание;а/заправка на ул. Тихой;"ООО ""ВИЗАРД- ИНТЕРЬЕРНЫЕ РЕШЕНИЯ""";ВИЗАРД;3422141400;plotnikov_wizard@mail.ru;3182
3184;"Пермь, Салон &quot;Декор-Центр&quot; ";улица Ленина, д. 15;;;"ЗАО ""Стройинтер""";"Салон ""Декор центр""";"3422190570; 3422190571";stroyinter-dir@yandex.ru;3182
3185;"Пермь, Салон &quot;Декор-Центр&quot; ТЦ &quot;Гудвин&quot; ";улица Уральская, д. 63, пав. 1;"ТЦ ""Гудвин""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422640364;;3182
3186;"Пермь, Салон &quot;Декор-Центр&quot; ТЦ &quot;Евразия&quot; ";улица Героев Хасана, д. 56;"ТЦ ""Евразия""";слева от эскалатора;"ЗАО ""Стройинтер""";"""Декоративка""";"3422113330; 3422113311";;3182
3188;"Ростов-на-Дону, &amp;quot;Салон Декор&amp;quot; (ИП Левичев С.В.) ";улица Красноармейская, д. 87/50, 1 этаж, стенд 1;;Между проспектом Соколова и проспектом Ворошиловским по ул. Красноармейской;ИП Левичев С.В.;"""Салон Декор""";"+7 (863) 220-89-80; +7 (863) 232-39-21";decor-rostov@mail.ru;3187
3193;Самара, магазин FORROOM (ООО Форрум) ;улица Красноармейская, д. 1, этаж 2, пав. 239;СТК Кубатура;;"ООО ""Форрум""";магазин FORROOM;89023751696;;3192
3195;Саратов, Центр Лепного Декора (ООО «Дизайн-Паркет») ;улица Московская, д. 11, этаж 1;;Салон находится на ул.Московская, между ул.Чернышевского и ул.Лермонтова;ООО «Дизайн-Паркет»;Центр Лепного Декора;"+7 (8452) 25-04-30; +7 (937) 225-04-30";lepnoidecor@decorinfo.ru;3194
3199;Санкт-Петербург, Piterra Интерио (PITERRA) ;ул. Полевая Сабировская, д. 54А, 2 этаж, секция 245;Торговый комплекс «Интерио»;;;PITERRA;8007070167;shop@piterra.ru;3196
3205;"Ставрополь, ООО &quot;Отан&quot; Салон-магазин &quot;Три Д&quot; (ул. Тухачевского) ";улица Тухачевского, д. 12А;Рядом рынок «Тухачевский»;Напротив ТЦ «Москва»;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652721829; 8652724123";info@salon3d.ru;3204
3206;"Ставрополь, ООО &quot;Отан&quot; Салон-магазин &quot;Три Д&quot; (ОРТЦ &quot;Ставрополь&quot;) ";улица Доваторцев, д. 61;Торговый комплекс «ОРТЦ»;;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652515050; 8652555310";tridnew@yandex.ru;3204
3214;Тольятти, Салон Премьер (ИП Рыбалка В.Н.) ;улица Жукова, д. 2, оф. 3;;;ИП Рыбалка В.Н.;Салон Премьер;"+7 (8482) 53-90-30; +7 (927) 891-12-81";premier_tolgatti@rambler.ru;3213
3218;Тула, Магазин ЛЕПНИНА (И.П. Новиков Р.В.) ;ул. Мосина, д. 29А, 1 этаж, пав. 102;Торговый центр, Мастер;;И.П Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9308961122; 9255060319";lepnina89@mail.ru;3217
3225;Уфа, Салон Розет (ИП Розет Р.Р.) ;улица Кирова, д. 34 (1 этаж);Салон Розет;;ИП Розет Р.Р.;Салон Розет;"+7 (347) 276-85-13; +7 (917) 375-51-00";rozetufa@gmail.com;3223
3226;"Уфа, Салон &quot;Розет&quot; (Радуга-Экспо) ";Индустриальное шоссе, д. 44/1, 2 этаж, пав. Экспо, секция 2Б;ТВК Радуга-Экспо;рядом с эскалатором;ИП Розет Р.Р.;Салон Розет;"3472922638; 9173444232";rozet-ekspo@mail.ru;3223
3229;"Хабаровск, Салон &amp;quot;Текстура&amp;quot; (ИП Лебедева М.Е. ООО &amp;quot;Текстура и Дизайн&amp;quot;) ";улица Дзержинского, д. 65;"салон ""Текстура""";Вход смотрит на Амурский бульвар, с правого торца здания;"ИП Лебедева М.Е. ООО ""Текстура и Дизайн""";"Салон ""Текстура""";+7 (4212) 46-40-40;postmaster@terralux.ru;3228
3232;Чебоксары, Салон «Montmartre» (ИП Альхимович Г.А.) ;проспект Максима Горького, д. 26, цокольный этаж;Торговый дом «Респект»;;ИП Альхимович Г.А.;Салон «Montmartre»;"+7 (800) 707-54-76; +7 (8352) 20-23-68";montmartre.decorsten@gmail.com;3231
3234;"Челябинск, Дизайн-Стиль (ООО &amp;quot;Дизайн-Стиль&amp;quot;) ";ул. 8 Марта ,  д. 56, 1 этаж;;;"ООО ""Дизайн-Стиль""";Дизайн-Стиль;"+7 (951) 809-90-44; +7 (905) 834-22-18";dzs2006@mail.ru;3233
3236;"Чита, Сеть магазинов &quot;Респект&quot; ";улица Нечаева, д. 35;магазин Респект;;"ООО ""Респект ЛТД""";Респект;3022317635;dmitry_respect@mail.ru;3235
3244;"Минск, ул. Пономаренко, 35А, оф. 103 (ЧТУП &quot;Салон Интерьера&quot;) ";улица Пономаренко, 35А, этаж 1, оф. 103;Товарищество собственников Пономаренко, 35 А;"Ресторан ""СОЧИ""";"ЧТУП ""Салон интерьера""";Салон интерьера;"375173732000; 375445750697";dekor-si@mail.ru;3242
3245;"Минск, ТЦ &quot;Град&quot;, ЧТУП &quot;Салон интерьера &quot;Декор&quot; ";ул. Тимирязева, 123, кор. 2, 2-й этаж;"ТЦ ""Град""";Рынок Ждановичи;"ЧТУП ""Салон интерьера""";Европласт;"375172596316; 375291068560";dekor-si@mail.ru;3242
3249;"Усть-Каменогорск, Салон &quot;Nota Bene&quot; (ТОО NS Tarde) ";ул.Сагадата Нурмагамбетова, д.48;Торговый дом;;ТОО NS Trade;"Салон ""Nota Bene""";7772223817;region2@premiera.kz;3247
3262;"Казань, ТК &quot;Савиново&quot; (Статус Кво) ";улица Ямашева, д. 93, 2 этаж;"Торговый Комплекс ""Савиново""";По экскалатору на 2 этаж и сразу налево наш салон;Статус Кво;ЕВРОПЛАСТ для красоты стен и потолков ЛЕПНИНА;9872263355;zakaz@evroplast116.ru;3260
3266;"Москва, Магазин &quot;Лепнина&quot; в ТК &quot;Миллион мелочей&quot; (ИП Алекперов В.Г.) ";"ул. Пришвина д. 26, ТК ""Миллион мелочей"", павильон № С04/1";"ТК ""Миллион Мелочей""";;ИП Алекперов В.Г.;"Магазин ""Лепнина""";9269102057;decorru@yandex.ru;3109
3277;Оренбург, салон VIVA Design (ИП Яковлев О.В., ООО Вива Дизайн) ;ул.Цвиллинга, д. 42 (1 этаж);;;ИП Яковлев О.В., ООО Вива Дизайн;салон VIVA Design;+7 (3532) 40-80-00;viva-evroplast@yandex.ru;3178
3282;"Москва, Сити-Декор (ООО &amp;quot;Деколепнина&amp;quot;) ";Волгоградский проспект, д.32, корпус 25, 1 этаж, павильон № 229-230;"ТЦ ""Метр Квадратный""";;"ООО ""Деколепнина""";Сити-Декор;"7(964) 648-50-67; +7(495) 669-35-47 ";metr@decolepnina.ru;3109
3288;"Баку, Салон &quot;Elit Interior&quot;, ул. Ziya Bunyatova (ИП Алекперов В.Г.) ";улица Ziya Bunyatova, 90;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994503556666;decorru@yandex.ru;3287
3291;Москва, Лепнинапласт (ИП Волок Л.А.) ;"ул. Коммунистическая, д. 25 ""Г"", Торгово-строительный комплекс ""Тракт-Терминал"", корпус 10, павильон 2";Тракт-Терминал;;ИП Волок Л.А.;Лепнинапласт;"+7 926 630 11 58; +7 926 630 11 83";lorikus-15@yandex.ru;3109
